token_id,num_classes,classes,total_usage,TUM,STR,LYM,NEC,dominant_class,confidence
3088,4,"TUM,STR,LYM,NEC",35500,17165,13017,1871,3447,TUM,0.4835
4711,4,"TUM,STR,LYM,NEC",24315,12628,7794,1342,2551,TUM,0.5194
2308,4,"TUM,STR,LYM,NEC",24276,10930,8609,1783,2954,TUM,0.4502
7694,4,"TUM,STR,LYM,NEC",23518,10832,8501,1603,2582,TUM,0.4606
1652,4,"TUM,STR,LYM,NEC",22559,9210,7976,2516,2857,TUM,0.4083
3526,4,"TUM,STR,LYM,NEC",21965,9972,8031,1641,2321,TUM,0.454
6045,4,"TUM,STR,LYM,NEC",21904,9457,7860,2176,2411,TUM,0.4317
2226,4,"TUM,STR,LYM,NEC",21863,8698,7400,2717,3048,TUM,0.3978
215,4,"TUM,STR,LYM,NEC",21158,8556,7428,2557,2617,TUM,0.4044
3836,4,"TUM,STR,LYM,NEC",20783,10181,7346,994,2262,TUM,0.4899
1813,4,"TUM,STR,LYM,NEC",20434,8718,7318,2241,2157,TUM,0.4266
5780,4,"TUM,STR,LYM,NEC",20344,9824,7115,1096,2309,TUM,0.4829
1842,4,"TUM,STR,LYM,NEC",20319,10797,6063,934,2525,TUM,0.5314
958,4,"TUM,STR,LYM,NEC",20175,8839,7081,2170,2085,TUM,0.4381
1297,4,"TUM,STR,LYM,NEC",19436,9801,6482,949,2204,TUM,0.5043
6795,4,"TUM,STR,LYM,NEC",19370,8558,6104,2014,2694,TUM,0.4418
4436,4,"TUM,STR,LYM,NEC",18793,7777,7102,1680,2234,TUM,0.4138
4817,4,"TUM,STR,LYM,NEC",18504,8704,6560,973,2267,TUM,0.4704
6321,4,"TUM,STR,LYM,NEC",18484,7755,6578,1918,2233,TUM,0.4196
2903,4,"TUM,STR,LYM,NEC",17871,9211,5499,1292,1869,TUM,0.5154
7189,4,"TUM,STR,LYM,NEC",17830,9361,5353,1162,1954,TUM,0.525
7134,4,"TUM,STR,LYM,NEC",17340,7843,6268,1053,2176,TUM,0.4523
5937,4,"TUM,STR,LYM,NEC",17307,7290,6134,1611,2272,TUM,0.4212
131,4,"TUM,STR,LYM,NEC",17249,8265,5799,1106,2079,TUM,0.4792
