token_id,count,is_dominant
3088,17165,True
4711,12628,True
2308,10930,True
7694,10832,True
1842,10797,True
3836,10181,True
3526,9972,True
5780,9824,True
1297,9801,True
6045,9457,True
7189,9361,True
2903,9211,True
1652,9210,True
958,8839,True
1813,8718,True
4817,8704,True
2226,8698,True
6702,8631,True
6795,8558,True
215,8556,True
5392,8369,True
131,8265,True
6054,8082,True
4430,8022,True
7733,7994,True
267,7983,True
7165,7953,True
3209,7944,True
1682,7919,True
3230,7908,True
7134,7843,True
4436,7777,True
6321,7755,True
6724,7725,True
7880,7698,True
7695,7499,True
5428,7414,True
5999,7368,True
2336,7323,True
8081,7306,True
5937,7290,True
5797,7170,True
4376,7107,True
331,7074,True
5810,7073,True
237,6965,True
2967,6935,True
44,6912,True
3044,6897,True
1373,6891,True
4311,6851,True
5912,6813,True
840,6800,True
2666,6716,True
3889,6663,True
7175,6658,True
145,6636,True
1977,6630,True
1476,6608,True
5872,6575,True
6226,6555,True
7024,6510,True
1357,6407,True
335,6368,True
2870,6364,True
7089,6352,True
516,6341,True
8013,6333,True
836,6300,True
781,6200,True
2028,6157,True
915,6148,True
1836,6103,True
5097,6087,True
7869,6072,True
4160,6041,True
4725,6020,True
7249,6017,True
7337,5989,True
6931,5976,True
2083,5976,True
808,5973,True
2756,5958,True
216,5892,True
4911,5843,True
1312,5820,True
5213,5790,True
3189,5769,True
3000,5764,True
3021,5734,True
8110,5725,True
2493,5711,True
2977,5694,True
6678,5676,True
1413,5649,True
2278,5632,True
5717,5630,True
4250,5609,True
4259,5585,True
594,5547,True
371,5543,True
7895,5499,True
8148,5484,True
6809,5450,True
389,5425,True
7808,5418,True
3469,5406,True
3477,5357,True
7222,5354,True
5039,5351,True
6219,5316,True
3619,5268,True
2990,5251,True
6905,5241,True
5203,5238,True
5433,5222,True
7899,5210,True
5098,5195,True
7948,5175,True
6960,5172,True
6814,5161,True
6192,5146,True
6782,5141,True
5235,5111,True
6121,5094,True
898,5093,True
8066,5084,True
5834,5055,True
778,5053,True
5741,5043,True
5065,5010,True
6571,5004,True
5023,4995,True
8082,4958,True
6652,4946,True
168,4917,True
4100,4910,True
6657,4895,True
4968,4889,True
7450,4875,True
1869,4872,True
697,4851,True
6808,4844,True
3908,4826,True
6869,4822,True
7501,4816,True
5047,4791,True
5735,4788,True
7149,4782,True
1571,4704,True
7916,4691,True
332,4685,True
935,4673,True
7400,4668,True
1767,4666,True
390,4658,True
5603,4649,True
1911,4639,True
4080,4638,True
1654,4635,True
1586,4606,True
6966,4605,True
352,4592,True
693,4540,True
2430,4535,True
2686,4531,True
7647,4502,True
2588,4502,True
4198,4481,True
4693,4445,True
7549,4442,True
6902,4437,True
5094,4436,True
124,4418,True
5611,4411,True
1001,4404,True
4143,4401,True
601,4393,True
2031,4379,True
7091,4363,True
453,4342,True
2194,4340,True
4947,4336,True
3870,4326,True
5702,4324,True
582,4324,True
7589,4324,True
1463,4312,True
1311,4291,True
4377,4283,True
2635,4272,True
144,4269,True
1716,4263,True
2766,4251,True
8041,4233,True
4593,4229,True
5763,4229,True
2776,4225,True
7612,4221,True
4965,4218,True
2326,4214,True
1150,4195,True
34,4182,True
4492,4180,True
7007,4171,True
7442,4170,True
7212,4164,True
7129,4148,True
7957,4127,True
7540,4126,True
3728,4119,True
632,4107,True
1157,4096,True
6979,4096,True
4833,4078,True
2140,4077,True
6964,4069,True
3030,4054,True
8101,4050,True
4112,4033,True
6807,4030,True
3127,4024,True
3527,4013,True
7032,4006,True
4322,3998,True
3298,3993,True
2876,3975,True
6227,3973,True
186,3966,True
2780,3965,True
5166,3960,True
1508,3957,True
321,3953,True
4859,3943,True
5133,3939,True
5913,3934,True
7807,3932,True
515,3931,True
6388,3924,True
4001,3922,True
1356,3920,True
2021,3917,True
3268,3910,True
4559,3901,True
1203,3894,True
4501,3885,True
6137,3885,True
7224,3884,True
3346,3879,True
2235,3877,True
4642,3876,True
1905,3868,True
5454,3859,True
6892,3845,True
2000,3842,True
4480,3842,True
2180,3822,True
553,3820,True
7119,3819,True
4993,3809,True
4166,3807,True
6480,3806,True
3247,3802,True
6919,3786,True
4278,3783,True
3901,3771,True
3858,3768,True
7357,3767,True
5424,3767,True
7599,3766,True
5561,3763,True
1218,3752,True
3637,3738,True
7591,3722,True
254,3721,True
7853,3719,True
725,3716,True
6674,3714,True
4410,3712,True
6509,3707,True
3823,3697,True
5344,3691,False
6628,3687,True
5716,3651,True
7160,3646,True
256,3645,True
7539,3635,True
1389,3634,True
5498,3627,True
4194,3626,True
130,3620,True
828,3605,True
404,3603,True
6428,3601,True
4691,3600,True
162,3598,True
7819,3584,True
3011,3574,True
1624,3567,True
581,3567,True
4606,3560,True
6048,3557,True
6354,3547,True
3626,3540,True
6595,3538,True
7164,3536,True
2482,3534,True
7485,3532,True
1008,3529,True
4533,3518,True
2801,3512,True
2502,3507,True
4774,3502,True
2751,3501,True
8144,3500,True
1298,3499,True
4247,3486,True
7430,3484,True
2602,3481,True
794,3471,True
1775,3469,True
2265,3465,True
4199,3454,True
6222,3444,True
4240,3441,True
3144,3439,True
4290,3436,True
7484,3436,True
2609,3432,True
7360,3419,True
4150,3413,True
3708,3404,True
1967,3395,True
4369,3393,True
9,3387,True
4251,3384,True
6502,3382,True
3349,3378,True
5194,3377,True
6720,3375,True
4340,3375,True
7709,3374,True
3207,3372,True
3487,3359,True
8049,3357,True
2540,3357,True
7649,3350,True
4205,3345,True
872,3342,True
2557,3331,True
6306,3326,True
688,3325,True
1460,3324,True
276,3323,True
3597,3321,True
4261,3318,True
7377,3316,True
5515,3313,True
6711,3313,True
1109,3310,True
7093,3309,True
7875,3303,True
5910,3301,True
2812,3294,True
8165,3293,True
5207,3282,True
7876,3275,True
2685,3274,True
2198,3271,True
5179,3266,True
3151,3265,True
6856,3263,True
8014,3254,True
6264,3253,True
7674,3247,True
5718,3247,True
2249,3242,True
5099,3229,True
1569,3229,True
8016,3228,True
3024,3228,True
612,3225,True
1375,3225,True
7101,3222,True
5499,3221,True
3204,3217,True
2477,3215,True
3981,3204,True
2319,3203,True
1833,3201,True
5555,3196,True
5101,3195,True
2330,3194,True
7078,3189,True
2411,3188,True
1280,3186,True
591,3184,True
3961,3179,True
3986,3176,True
7824,3175,True
8003,3173,True
2650,3172,True
3296,3166,True
2018,3165,True
297,3159,True
7941,3151,True
5799,3150,True
5007,3150,True
7324,3144,True
4286,3125,True
3896,3121,True
3729,3117,True
6830,3113,True
3199,3106,True
2012,3102,True
4622,3098,True
7392,3097,True
7565,3084,True
1320,3083,True
3029,3080,True
5509,3079,True
5673,3065,True
2703,3060,True
5946,3054,True
3442,3051,True
2115,3043,True
6173,3041,True
8037,3038,True
3126,3037,True
2299,3037,True
675,3032,True
8126,3031,True
1613,3026,True
6623,3010,True
6194,3006,True
8073,2998,True
6479,2994,True
154,2992,True
4821,2991,True
3208,2991,True
3971,2982,True
3675,2978,True
982,2978,True
3500,2974,True
2815,2970,True
7410,2969,True
5686,2965,True
3365,2965,True
1270,2959,True
3625,2943,True
